City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
10,Namatanai,PG,85.15,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
14,Iranduba,BR,77.32,overcast clouds,-3.2847,-60.1861,Evolução Ecolodge
16,Minbu,MM,75.81,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
17,Maragogi,BR,79.3,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
21,Hobyo,SO,75.52,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
32,Esperance,AU,76.84,few clouds,-33.8667,121.9,Hospitality Esperance
33,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
34,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
41,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
44,Bengkulu,ID,81.64,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
45,Port Hedland,AU,82.45,light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
47,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
51,Hithadhoo,MV,82.42,scattered clouds,-0.6,73.0833,Scoop Guest House
52,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
59,Manaure,CO,76.91,clear sky,11.7751,-72.4445,Hotel Palaaima
62,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
63,Lorengau,PG,84.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
66,Saint-Philippe,RE,78.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
74,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
77,Atuona,PF,78.76,scattered clouds,-9.8,-139.0333,Villa Enata
86,Port Lincoln,AU,79.45,clear sky,-34.7333,135.8667,Port Lincoln Hotel
95,Rikitea,PF,79.02,few clouds,-23.1203,-134.9692,People ThankYou
99,Buala,SB,85.89,light rain,-8.145,159.5921,Maringe Lagoon Lodge
105,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti Beach Resort
108,Jambi,ID,86.43,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
112,Mae Ramat,TH,79.12,scattered clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
116,Kandrian,PG,88.48,light rain,-6.2167,149.55,Kandrian Station
119,Souillac,MU,79.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
122,Harper,LR,78.75,overcast clouds,4.375,-7.7169,Screensaver
