City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Albany,42.6001,-73.9662,21.31,77,10,4.18,US,clear sky
1,Areosa,41.7178,-8.8571,50.32,68,57,5.66,PT,broken clouds
2,Avarua,-21.2078,-159.775,80.65,78,20,9.22,CK,few clouds
3,Imamoglu,37.2651,35.6572,35.31,56,0,3.78,TR,clear sky
4,Ushuaia,-54.8,-68.3,60.46,67,40,14.97,AR,scattered clouds
5,Kuytun,54.3419,101.5036,16.25,88,100,2.59,RU,overcast clouds
6,Aviles,43.5547,-5.9248,48.76,73,100,3.0,ES,overcast clouds
7,Lagoa,39.05,-27.9833,59.5,84,6,16.98,PT,clear sky
8,Praya,14.9215,-23.5087,68.54,83,0,10.36,CV,clear sky
9,Coquimbo,-29.9533,-71.3436,64.13,82,100,4.61,CL,overcast clouds
10,Namatanai,-3.6667,152.4333,85.15,69,100,7.52,PG,overcast clouds
11,Lavrentiya,65.5833,-171.0,-18.74,94,58,7.56,RU,broken clouds
12,Akure,7.2526,5.1931,66.65,96,0,0.29,NG,clear sky
13,Tobolsk,58.2,68.2667,5.58,86,100,8.3,RU,overcast clouds
14,Iranduba,-3.2847,-60.1861,77.32,94,100,2.39,BR,overcast clouds
15,Ponta Do Sol,32.6667,-17.1,63.23,70,7,10.65,PT,clear sky
16,Minbu,20.1833,94.8833,75.81,26,90,5.64,MM,overcast clouds
17,Maragogi,-9.0122,-35.2225,79.3,72,61,4.72,BR,broken clouds
18,Port Elizabeth,-33.918,25.5701,70.65,75,18,3.89,ZA,few clouds
19,Sao Filipe,14.8961,-24.4956,71.98,76,8,6.04,CV,clear sky
20,Ribeira Grande,38.5167,-28.7,61.07,83,9,16.02,PT,clear sky
21,Hobyo,5.3505,48.5268,75.52,72,98,17.36,SO,overcast clouds
22,Benghazi,32.1167,20.0667,59.4,67,85,7.11,LY,overcast clouds
23,Umba,66.6871,34.3429,13.87,94,100,14.09,RU,overcast clouds
24,Jodar,37.8406,-3.3526,47.37,82,0,2.51,ES,clear sky
25,Abu Kamal,34.4506,40.9171,48.69,62,85,3.04,SY,overcast clouds
26,Nagothana,18.5333,73.1333,73.42,55,66,2.04,IN,broken clouds
27,Chuy,-33.6971,-53.4616,63.79,74,41,15.66,UY,scattered clouds
28,Port Alfred,-33.5906,26.891,72.93,79,82,4.97,ZA,broken clouds
29,East London,-33.0153,27.9116,70.74,94,0,4.61,ZA,clear sky
30,Dukat,62.55,155.55,-4.97,73,9,0.96,RU,clear sky
31,Dalvik,65.9702,-18.5286,24.73,88,100,9.08,IS,overcast clouds
32,Esperance,-33.8667,121.9,76.84,49,14,26.35,AU,few clouds
33,Touros,-5.1989,-35.4608,79.7,77,15,8.48,BR,few clouds
34,Kapaa,22.0752,-159.319,78.78,74,20,3.0,US,few clouds
35,Punta Arenas,-53.15,-70.9167,53.71,82,75,10.36,CL,broken clouds
36,Hobart,-42.8794,147.3294,81.01,34,20,8.05,AU,few clouds
